epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,50653.7,0.72564,0.99525,1.07373,0.8699,0,0.35617,0.22322,0.19586,0.10758,0.25421,0.18047,0.11512,0.03327,1.68879,1.82241,2.0148,0.79814,0,0.0003664,0.0003664,0.0003664
66,51395.2,0.72672,0.99782,1.07243,0.86984,0,0.34017,0.22786,0.19629,0.10734,0.26027,0.18046,0.11425,0.03292,1.69049,1.82007,2.0157,0.79822,0,0.0003565,0.0003565,0.0003565
67,52133.2,0.72617,0.99299,1.06989,0.8709,0,0.33757,0.23946,0.19633,0.10749,0.2632,0.18089,0.11569,0.03257,1.68734,1.81882,2.01239,0.79792,0,0.0003466,0.0003466,0.0003466
68,52872.3,0.72506,0.99133,1.0674,0.87039,0,0.34994,0.23088,0.1963,0.10746,0.26557,0.17684,0.11498,0.03249,1.68699,1.81622,2.01366,0.79795,0,0.0003367,0.0003367,0.0003367
69,53612.7,0.72419,0.99162,1.06459,0.87021,0,0.35205,0.23248,0.19735,0.10786,0.26896,0.17726,0.11583,0.0326,1.68318,1.81268,2.01073,0.79758,0,0.0003268,0.0003268,0.0003268
70,54350.1,0.72417,0.99049,1.06102,0.87,0,0.34762,0.23231,0.197,0.1081,0.26737,0.1788,0.11675,0.03281,1.68117,1.81013,2.00972,0.79756,0,0.0003169,0.0003169,0.0003169
71,55089.5,0.72297,0.98973,1.05853,0.86864,0,0.34392,0.23172,0.19657,0.10797,0.26711,0.17924,0.11521,0.03249,1.67726,1.80417,2.00737,0.79726,0,0.000307,0.000307,0.000307
72,55835,0.72188,0.9866,1.05792,0.86925,0,0.34788,0.23427,0.19634,0.10818,0.26557,0.17938,0.11554,0.03277,1.67328,1.80301,2.00804,0.79709,0,0.0002971,0.0002971,0.0002971
73,56571.7,0.72318,0.99075,1.05212,0.86911,0,0.35058,0.2301,0.19699,0.10814,0.26312,0.1811,0.11622,0.03282,1.67235,1.8038,2.007,0.7971,0,0.0002872,0.0002872,0.0002872
74,57309.8,0.72168,0.9878,1.05064,0.86823,0,0.35487,0.23141,0.19636,0.10799,0.26746,0.18227,0.11585,0.03263,1.67286,1.80244,2.00455,0.79715,0,0.0002773,0.0002773,0.0002773
